"number","title","pageid","namespace","length","touched"
"109","Quentin_Tarantino","25169","","134963","20210513022145"
"110","Ronald_Reagan","25433","","264559","20210513015830"
"111","Ruth_Gordon","25866","","28386","20210416141816"
"112","Rob_Reiner","26264","","36787","20210507140209"
"113","Robin_Wright","26265","","31799","20210509184749"
"114","Richard_Hell","26517","","22707","20210512135842"
"115","Shannon_Elizabeth","26675","","20346","20210419230408"
"116","Steven_Spielberg","26940","","184592","20210511002511"
"117","Spike_Lee","26941","","65652","20210425013117"
"118","Spike_Jonze","26942","","85083","20210513021959"
"119","Sheryl_Crow","27152","","83405","20210508164307"
"120","Sarah_Michelle_Gellar","27611","","101965","20210511124754"
"121","Sam_Peckinpah","27641","","69437","20210408182436"
"122","Sonny_Bono","27655","","27826","20210419155954"
"123","Salma_Hayek","27717","","58325","20210507163801"
"124","Sandra_Bullock","29455","","80893","20210507214741"
"125","Sonja_Henie","29491","","35562","20210415154239"
"126","Tiffani_Thiessen","29774","","24056","20210511144313"
"127","Tom_Waits","30519","","105086","20210506235615"
"128","Tupac_Shakur","31341","","146113","20210508191905"
"129","Ted_Raimi","31416","","17719","20210414092107"
"130","Tom_Cruise","31460","","74165","20210512002822"
"131","Tod_Browning","31502","","88019","20210511180845"
"132","Woody_Allen","32901","","175488","20210513022113"
"133","Walt_Disney","32917","","105178","20210503061954"
"134","Wallace_Shawn","33905","","37306","20210510194943"
"135","Whitney_Houston","34071","","208711","20210513021900"
"136","Winona_Ryder","34078","","79563","20210512201801"
"137","Yeardley_Smith","34351","","35164","20210504222952"
"138","Blake_Edwards","36882","","28437","20210316204807"
"139","Melissa_Sue_Anderson","36909","","16084","20210504122103"
"140","Denise_Richards","37275","","86545","20210512113305"
"141","Bruce_Lee","37313","","146555","20210503120520"
"142","Micky_Dolenz","37891","","38809","20210312171724"
"143","Natalie_Portman","38459","","142899","20210513024830"
"144","Eileen_Heckart","38563","","15341","20210402132422"
"145","Otto_Preminger","38773","","36176","20210428024548"
"146","Cary_Grant","38965","","150566","20210512201059"
"147","Mary_Martin","39096","","28068","20210414002216"
"148","Charles_Pierce_(female_impersonator)","39230","","9872","20210222184339"
"149","Freddie_Prinze","39620","","15739","20210507050446"
"150","Howard_K._Smith","39882","","19728","20210502181445"
"151","Jennifer_Aniston","39942","","98554","20210510194553"
"152","Ingrid_Bergman","41562","","172192","20210504160427"
"153","Al_Pacino","41906","","78319","20210510231701"
"154","Clark_Gable","42083","","111683","20210511005153"
"155","Cameron_Diaz","42104","","66464","20210511091915"
"156","Dustin_Hoffman","42148","","98997","20210512211246"
"157","Ted_Demme","42223","","10432","20210506122300"
"158","Gillian_Anderson","42238","","102716","20210512015055"
"159","Elizabeth_Taylor","42357","","118017","20210508035449"
"160","Grace_Kelly","42620","","79535","20210508155226"
"161","Gwyneth_Paltrow","42621","","117867","20210512120101"
"162","Elia_Kazan","42874","","79413","20210508171534"
"163","Buster_Keaton","43055","","69645","20210509065206"
"164","Sharon_Stone","43084","","90960","20210509224839"
"165","Ashley_Judd","43113","","47847","20210427031304"
"166","Ava_Gardner","43115","","38043","20210502174933"
"167","Rebecca_De_Mornay","43273","","20843","20210416215801"
"168","Barbara_Stanwyck","43331","","54398","20210512102612"
"169","Katharine_Hepburn","43337","","126887","20210512183828"
"170","Clint_Eastwood","43373","","168707","20210504084107"
"171","Tom_Hanks","43568","","101085","20210509071543"
"172","Andie_MacDowell","43825","","13903","20210502221707"
"173","Cybill_Shepherd","43848","","31860","20210414042235"
"174","Anthony_Quinn","43913","","36562","20210510234558"
"175","Alyson_Hannigan","43997","","19612","20210506220829"
"176","Harrison_Ford","44059","","74944","20210509145256"
"177","John_Huston","44136","","93875","20210506193232"
"178","Rosie_O'Donnell","44205","","104960","20210312192526"
"179","Mel_Gibson","44219","","130342","20210429110739"
"180","Carole_Lombard","44354","","58441","20210512042556"
"181","Gary_Cooper","44359","","135846","20210512101116"
"182","Thora_Birch","44442","","42822","20210429051613"
"183","Glenn_Close","44459","","91660","20210513021755"
"184","Helen_Hunt","44569","","31226","20210503053117"
"185","Sharon_Tate","44735","","56778","20210510101146"
"186","Mel_Blanc","44748","","55911","20210512182235"
"187","Brad_Pitt","44849","","151969","20210510162030"
"188","Paul_Muni","45188","","30262","20210507173859"
"189","Richard_Barthelmess","45352","","19439","20210206173209"
"190","Victor_McLaglen","45360","","41693","20210412072721"
"191","Spencer_Tracy","45782","","88432","20210429075257"
"192","Janet_Gaynor","45794","","35713","20210301022453"
"193","Richard_Burton","45967","","173075","20210512130158"
"194","Joan_Crawford","45969","","77782","20210502174954"
"195","Sidney_Poitier","46052","","45815","20210513003204"
"196","Charlton_Heston","46165","","75053","20210418193855"
"197","Henry_Fonda","46228","","53492","20210512084419"
"198","Milton_Berle","46284","","58575","20210501160846"
"199","Goldie_Hawn","48071","","49947","20210509171527"
"200","Dan_Aykroyd","49650","","63655","20210512090958"
"201","Paul_Newman","49706","","89837","20210510194411"
"202","Ella_Fitzgerald","50350","","62940","20210505133802"
"203","Robert_Urich","50489","","29281","20210429200755"
"204","Carmen_Miranda","50758","","83677","20210428142429"
"205","Miloš_Forman","51333","","43899","20210422020604"
"206","Meg_Ryan","51799","","43600","20210424210619"
"207","Leonardo_DiCaprio","52711","","192066","20210512193616"
"208","Robin_Williams","53242","","147078","20210512231354"
"209","Val_Kilmer","53327","","55178","20210503200110"
"210","Tracey_Ullman","53486","","54255","20210425135255"
"211","Ray_Milland","53505","","52552","20210507165928"
"212","Leonard_Nimoy","53569","","104531","20210513014629"
"213","Majel_Barrett","53576","","28648","20210504130908"
"214","Jim_Thorpe","53869","","77422","20210428205917"
"215","Marc_Connelly","53967","","5373","20210511002933"
"216","John_Travolta","54174","","46516","20210507215107"
"217","Samuel_L._Jackson","54306","","81566","20210510193119"
"218","Eddie_Murphy","54539","","54878","20210419031121"
"219","Bob_Keeshan","54589","","18791","20210324200725"
"220","Scott_Bakula","54594","","29818","20210511035033"
"221","Whoopi_Goldberg","54985","","86156","20210511093008"
"222","Leslie_Nielsen","55014","","55331","20210513021923"
"223","Gwen_Verdon","55608","","25980","20210510191557"
"224","Laurel_and_Hardy","55909","","74306","20210510212408"
"225","Jeff_Bridges","56439","","44328","20210507042347"
"226","Anita_O'Day","56982","","17178","20210415144408"
"227","Paul_Lynde","56987","","39746","20210510032854"
"228","Fred_Gwynne","56992","","20408","20210511015304"
"229","John_Denver","58586","","64363","20210512221356"
"230","Judy_Garland","58719","","121309","20210512155449"
"231","Ron_Howard","58928","","54224","20210511180649"
"232","Liza_Minnelli","59216","","56929","20210503064209"
"233","Alicia_Keys","59720","","246643","20210511011709"
"234","Janet_Jackson","60070","","198489","20210507175107"
"235","Kevin_Smith","60296","","106265","20210511175544"
"236","Gene_Rayburn","60907","","16802","20210509173054"
"237","James_Baskett","61131","","10644","20210416174448"
"238","Maurice_Chevalier","61159","","32183","20210512233006"
"239","Rod_Steiger","61258","","123352","20210512205153"
"240","Claudette_Colbert","61350","","51425","20210512175323"
"241","Norma_Shearer","61354","","47085","20210415094809"
"242","Sylvester_Stallone","61404","","92393","20210511073348"
"243","Charles_Laughton","61641","","43629","20210505090056"
"244","Robert_Redford","61982","","65330","20210510042327"
"245","Raymond_Burr","62123","","123017","20210509194232"
"246","William_Wyler","62266","","62528","20210510233040"
"247","Michelle_Pfeiffer","62666","","150866","20210512033539"
"248","Warren_Beatty","62809","","75395","20210508021804"
"249","Walter_Matthau","62811","","28694","20210423171324"
"250","Jon_Bon_Jovi","63132","","37334","20210426174905"
"251","Linda_Hamilton","63186","","19144","20210425131218"
"252","Meryl_Streep","63390","","182210","20210512140922"
"253","Greta_Garbo","63436","","97180","20210511122632"
"254","Bette_Davis","63517","","93893","20210506035220"
"255","Jane_Fonda","63520","","124217","20210511121940"
"256","Sissy_Spacek","63523","","40006","20210510044945"
"257","Claude_Rains","63527","","47065","20210429121714"
"258","Fredric_March","63556","","34173","20210427010837"
"259","Peter_Lorre","63740","","35811","20210506164953"
"260","Ginger_Rogers","64612","","43006","20210508175538"
"261","Bruce_Willis","64673","","64664","20210503073258"
"262","Rosemary_Clooney","64837","","23536","20210429225640"
"263","Doodles_Weaver","64913","","25106","20210414093157"
"264","Fred_Astaire","64962","","77099","20210512211340"
"265","Sigourney_Weaver","64965","","39897","20210506214520"
"266","Spanky_McFarland","65032","","14845","20210419183953"
"267","Asia_Carrera","65040","","18353","20210505070253"
"268","Zoë_Wanamaker","65446","","40018","20210501062323"
"269","Jesse_Ventura","65521","","122111","20210502175111"
"270","Robin_Givens","66345","","34726","20210320103059"
"271","Ami_Dolenz","66350","","9197","20210420083120"
"272","Evel_Knievel","66427","","77841","20210509015706"
"273","Slim_Pickens","66934","","27591","20210502052509"
"274","Lionel_Barrymore","67022","","33469","20210501080215"
"275","Errol_Flynn","67030","","83698","20210505053112"
"276","Jennifer_Jones","67375","","34968","20210511004013"
"277","Steven_Seagal","67404","","81360","20210512190648"
"278","Morris_Chestnut","67447","","11604","20210402082339"
"279","Jessica_Lange","67763","","67495","20210507063633"
"280","John_Barrymore","68065","","100779","20210429071835"
"281","Count_Basie","68090","","51068","20210510235356"
"282","Martin_Sheen","68131","","64808","20210414084353"
"283","Jack_Albertson","68308","","24937","20210504101438"
"284","Faye_Dunaway","68322","","109463","20210505212421"
"285","Susan_Sarandon","68323","","48045","20210414073419"
"286","Anna_Nicole_Smith","68335","","59975","20210503064837"
"287","Tony_Curtis","68375","","61016","20210512184725"
"288","Jamie_Lee_Curtis","68378","","66032","20210507182557"
"289","Michael_J._Fox","68904","","82241","20210513021844"
"290","Charley_Paddock","69167","","9306","20210415231744"
"291","Justin_Timberlake","69323","","223411","20210512163135"
"292","Scatman_Crothers","69439","","19179","20210513031550"
"293","Selena","69795","","149954","20210512122317"
"294","Kirk_Douglas","69861","","96633","20210511134102"
"295","Alicia_Silverstone","69930","","70540","20210512202110"
"296","Gracie_Allen","70014","","26097","20210509050723"
"297","George_Burns","70020","","47259","20210508130328"
"298","Debbie_Reynolds","70315","","70192","20210509163544"
"299","Tim_Blake_Nelson","71417","","21787","20210415165529"
"300","Bob_Fosse","71571","","34479","20210504134404"
"301","Johnny_Depp","71870","","138781","20210507184517"
"302","Barbra_Streisand","72336","","130629","20210507081804"
"303","Tex_Avery","73100","","37760","20210512013759"
"304","Christopher_Reeve","73626","","82557","20210511223857"
"305","Katy_Jurado","73695","","23375","20210223200151"
"306","Kevin_Sorbo","74160","","46596","20210512064403"
"307","Jenna_Jameson","74573","","124716","20210502180639"
"308","Rose_Hobart","76311","","14135","20210502232559"
"309","DeForest_Kelley","76337","","33631","20210501201825"
"310","Roscoe_Arbuckle","76560","","63249","20210407125943"
"311","Natalie_Wood","77390","","68514","20210502061551"
"312","Gregory_Peck","77491","","184915","20210512230659"
"313","Michael_Douglas","78781","","62806","20210504224358"
"314","Uma_Thurman","78834","","97715","20210512025921"
"315","Harvey_Keitel","79156","","30812","20210507043250"
"316","Lou_Tellegen","80226","","10926","20210301213129"
"317","Cher","80696","","248881","20210507021954"
"318","Billie_Joe_Armstrong","80903","","68262","20210511222915"
"319","Kate_Mulgrew","81034","","36149","20210428020705"
"320","Mary-Kate_Olsen","81800","","35346","20210429084710"
"321","Tina_Turner","82061","","152911","20210512201417"
"322","Jack_Benny","82587","","40855","20210506230429"
"323","Marilyn_Chambers","82772","","38976","20210509113909"
"324","George_C._Scott","82847","","53074","20210511210229"
"325","Lea_DeLaria","83532","","25033","20210511201504"
"326","Jessica_Tandy","84047","","23347","20210323023927"
"327","Oliver_Hardy","84345","","25572","20210503115612"
"328","Neville_Brand","84474","","24576","20210505213915"
"329","Jean_Seberg","84781","","44534","20210505145313"
"330","Nick_Nolte","84829","","42451","20210508173006"
"331","Molly_Ringwald","84934","","31992","20210511040128"
"332","Cyndi_Lauper","85226","","115618","20210510044531"
"333","Fred_MacMurray","86925","","25419","20210504113341"
"334","Bronko_Nagurski","87070","","26746","20210512111851"
"335","LeVar_Burton","87219","","31236","20210511172946"
"336","Wil_Wheaton","87418","","71343","20210512130129"
"337","Tony_Hawk","87474","","51557","20210511182409"
"338","Robert_Mitchum","87603","","43966","20210505095103"
"339","Mickey_Rooney","87624","","80688","20210512015628"
"340","Jonathan_Frakes","88079","","29919","20210511215325"
"341","Peggy_Cass","88293","","9901","20201227171101"
"342","John_Holmes_(actor)","88489","","40248","20210513014159"
"343","David_Cassidy","88604","","46850","20210414082318"
"344","Sandra_Bernhard","88704","","29569","20210512044338"
"345","Olivia_de_Havilland","88833","","136214","20210512094028"
"346","Snoop_Dogg","88923","","133014","20210507013308"
"347","Kerri_Green","89635","","5523","20210211005004"
"348","Martha_Plimpton","89641","","58444","20210503030109"
"349","Anne_Ramsey","89648","","11385","20210508144101"
"350","Margaret_Cho","89662","","72189","20210512193325"
"351","Jeff_Cohen_(actor)","89669","","8859","20210326153840"
"352","Loretta_Swit","89689","","18730","20210304130942"
"353","Wayne_Rogers","89697","","15313","20210428112352"
"354","Ben_Stiller","90095","","55960","20210512161920"
"355","Corey_Feldman","90141","","66216","20210510211006"
"356","Debi_Mazar","90685","","23161","20210504192839"
"357","Gilda_Radner","90698","","37387","20210413235729"
"358","George_Gobel","91013","","16250","20210414092534"
"359","Hilary_Swank","92289","","45549","20210508021605"
"360","Hattie_McDaniel","92343","","65111","20210509204426"
"361","Reese_Witherspoon","93560","","158677","20210512043041"
"362","Gates_McFadden","93781","","18397","20210420165210"
"363","Brent_Spiner","93785","","28120","20210509072521"
"364","Roseanne_Barr","93791","","83794","20210504130633"
"365","Tori_Spelling","97149","","37451","20210511175736"
"366","Van_Dyke_Parks","98043","","64692","20210407203851"
"367","John_Ratzenberger","98713","","45310","20210512153625"
"368","Charles_Boyer","98968","","40492","20210505015815"
"369","Jimmy_Durante","99033","","32556","20210509233543"
"370","Michael_McKean","99858","","39202","20210505135225"
"371","David_Lander","99859","","17689","20210507192556"
"372","Andy_Kaufman","99881","","87012","20210510010458"
"373","Ernie_Kovacs","99970","","92168","20210503013844"
"374","Clarence_Nash","100039","","23639","20210507074105"
"375","Bobby_Darin","100161","","38419","20210504195759"
"376","Ethel_Merman","100394","","56843","20210512134023"
"377","Paul_Anka","100691","","40251","20210513021821"
"378","Denzel_Washington","100692","","43199","20210510053151"
"379","Phil_Hartman","100840","","68351","20210512203826"
"380","Bob_Elliott_(comedian)","100856","","14578","20210405221628"
"381","Calvert_DeForest","100866","","13583","20210410140002"
"382","Henny_Youngman","101143","","12554","20210317023001"
"383","Martika","101366","","14669","20210403224720"
"384","Liev_Schreiber","101393","","52709","20210509194059"
"385","Julia_Louis-Dreyfus","102592","","63088","20210511163134"
"386","Dana_Carvey","102637","","25666","20210428114210"
"387","Tina_Fey","102685","","116864","20210414182520"
"388","Adam_Sandler","102690","","34052","20210509175210"
"389","Lorne_Michaels","102897","","34925","20210509031827"
"390","Steve_Martin","102910","","80702","20210504152412"
"391","Jane_Curtin","102947","","20496","20210416050812"
"392","Laraine_Newman","102956","","26649","20210509010520"
"393","Chevy_Chase","102973","","47298","20210512195555"
"394","Garrett_Morris","102980","","23628","20210416133305"
"395","Bill_Murray","102994","","86963","20210511040116"
"396","Brian_Doyle-Murray","103017","","22270","20210425164647"
"397","Mike_Myers","103063","","45657","20210513021923"
"398","Michael_Rosenbaum","103273","","20678","20210509175539"
"399","Soleil_Moon_Frye","103930","","25781","20210508200918"
"400","George_Abbott","104451","","20494","20210322154823"
"401","Jerry_Seinfeld","104492","","94345","20210511014111"
"402","Danny_DeVito","104940","","28648","20210414085550"
"403","Steven_Wright","104987","","25138","20210414093203"
"404","Michael_Richards","104998","","28276","20210502193303"
"405","Larry_David","105022","","39241","20210512203337"
"406","Christine_Taylor","105307","","13027","20210418210127"
"407","Bud_Abbott","105962","","20784","20210511021034"
"408","Lou_Costello","105966","","32026","20210503024233"
"409","Abbott_and_Costello","105969","","41828","20210511173445"
"410","Louis_Prima","105980","","28922","20210414090913"
"411","Clara_Bow","106000","","69065","20210427130941"
"412","Sean_Astin","113063","","51269","20210505130407"
"413","Andy_Griffith","113137","","57543","20210506013100"
"414","Julie_Kavner","113157","","32195","20210506192944"
"415","Hank_Azaria","113159","","95178","20210510193829"
"416","Tress_MacNeille","113161","","40751","20210511043114"
"417","Marcia_Wallace","113163","","16599","20210511005424"
"418","José_Ferrer","113471","","36522","20210507215147"
"419","Sean_Penn","113746","","58140","20210423141210"
"420","Howard_Keel","118405","","21675","20210509230626"
"421","Paul_Giamatti","130715","","41844","20210509165828"
"422","Fred_Rogers","137869","","116525","20210501195731"
"423","Edgar_Bergen","140875","","29412","20210423032638"
"424","Jack_Webb","140929","","37153","20210511021830"
"425","Josh_Ryan_Evans","141883","","5826","20210302133703"
"426","Madonna","142056","","207998","20210511215332"
"427","Lon_Chaney_Jr.","142239","","41872","20210508211115"
"428","Gene_Simmons","142241","","60490","20210507194929"
"429","Lucy_Liu","142548","","48275","20210511130733"
"430","Lily_Tomlin","142698","","42542","20210510152340"
"431","Warner_Baxter","142784","","41679","20210503202057"
"432","Chester_Morris","142787","","31456","20210423020050"
"433","Lewis_Stone","142792","","17279","20210216174925"
"434","Wallace_Beery","142834","","60341","20210429192005"
"435","Jackie_Gleason","143114","","94137","20210414083048"
"436","Tera_Patrick","143695","","27579","20210502180641"
"437","Kevin_Costner","144152","","48717","20210509114648"
"438","Christina_Aguilera","144171","","156215","20210505040045"
"439","Chris_Farley","144218","","37207","20210512184930"
"440","Adolphe_Menjou","144767","","27988","20210425020857"
"441","Jackie_Cooper","144768","","22482","20210505135813"
"442","Richard_Dix","144770","","17497","20210322010820"
"443","Alfred_Lunt","144776","","12014","20210504205341"
"444","Brandy_Norwood","144809","","115631","20210512083102"
"445","Steve_McQueen","144829","","110251","20210512060007"
"446","Carol_Haney","144833","","9483","20210424005924"
"447","Mickey_Spillane","144883","","27761","20210505165938"
"448","Frank_Morgan","145042","","18314","20210414080154"
"449","Franchot_Tone","145061","","54610","20210508141601"
"450","Walter_Huston","145064","","17478","20210414092644"
"451","Marlene_Dietrich","145325","","76580","20210512225120"
"452","Nichelle_Nichols","145366","","39667","20210510032055"
"453","Bob_Newhart","145389","","48246","20210506084944"
"454","Raymond_Massey","145626","","24280","20210509024238"
"455","Walter_Pidgeon","145644","","22951","20210321161453"
"456","Monty_Woolley","145645","","19989","20210413204653"
"457","Paul_Lukas","145646","","14886","20210423101413"
"458","Bob_Crane","146071","","37395","20210509173845"
"459","Danica_McKellar","146089","","36903","20210415125331"
"460","Merlin_Santana","146190","","8107","20210504174153"
"461","Brook_Kerr","146214","","3956","20210430140754"
"462","Crystal_McKellar","146232","","4766","20210414061641"
"463","Raquel_Welch","146969","","59736","20210415012329"
"464","Richard_Simmons","147063","","50856","20210416135950"
"465","Ryan_Stiles","147137","","15851","20210512215749"
"466","Ruth_Brown","147308","","32836","20210422180458"
"467","William_Holden","147352","","45510","20210505010930"
"468","Mervyn_LeRoy","147359","","163588","20210503181338"
"469","Shirley_MacLaine","147368","","62617","20210512223531"
"470","Myrna_Loy","147369","","35786","20210504184101"
"471","Margaux_Hemingway","147570","","18506","20210422235154"
"472","Simon_Rex","147634","","17533","20210504211018"
"473","Shaquille_O'Neal","147726","","186216","20210504091753"
"474","Joe_Louis","147863","","114474","20210510123508"
"475","Melissa_Joan_Hart","148164","","54039","20210429084700"
"476","Ice_Cube","148328","","62112","20210501172148"
"477","Tatyana_Ali","148435","","30217","20210510181530"
"478","Leif_Erickson_(actor)","148764","","12800","20210414165310"
"479","Queen_Latifah","148784","","63469","20210428231028"
"480","Texas_Guinan","148828","","39215","20210414070222"
"481","James_Coburn","148905","","43415","20210512130403"
"482","Danielle_Fishel","148907","","19274","20210505232451"
"483","Carole_King","149109","","76864","20210512201758"
"484","Donna_Summer","149561","","72976","20210503171344"
"485","Willie_Nelson","149709","","138540","20210509103048"
"486","Eddie_Bracken","149731","","13176","20210510043032"
"487","Cornel_Wilde","149784","","28156","20201228093212"
"488","Larry_Parks","149788","","20260","20210426032429"
"489","John_Garfield","149798","","30602","20210512203505"
"490","Lew_Ayres","149808","","22617","20210503043622"
"491","Montgomery_Clift","149813","","36915","20210414092316"
"492","Harpo_Marx","150095","","66840","20210511004030"
"493","Rudy_Vallée","151340","","30338","20210429230507"
"494","Dean_Martin","151603","","66286","20210507184223"
"495","Vincent_Price","151949","","51719","20210511181618"
"496","Don_Rickles","152195","","39844","20210502180613"
"497","Mae_Whitman","152334","","41737","20210513033948"
"498","Zsa_Zsa_Gabor","152860","","53466","20210213214842"
"499","Eva_Gabor","152912","","19245","20210504211518"
"500","Magda_Gabor","152913","","10082","20210312082153"
"501","Richard_Gere","153956","","45936","20210511005401"
"502","Kathryn_Grayson","154038","","26847","20210417212050"
"503","Clifton_Webb","154682","","26577","20210316162114"
"504","Broderick_Crawford","154686","","28458","20210512062927"
"505","Diana_Ross","154695","","102662","20210430224303"
"506","Will_Smith","154698","","61789","20210429085658"
"507","Christy_Carlson_Romano","155044","","30001","20210419213417"
"508","Ken_Norton","155524","","44280","20210511152141"
"509","Howie_Dorough","155696","","28033","20210423115133"
"510","Debbie_Gibson","155723","","55380","20210509180415"
"511","Truman_Capote","155736","","97316","20210502174932"
"512","Mary_Steenburgen","155915","","31975","20210504141026"
"513","Henry_Wilcoxon","155973","","28524","20210323214413"
"514","Laurence_Fishburne","156006","","43158","20210416234017"
"515","Lalaine","156103","","13588","20210426150620"
"516","Dwayne_Johnson","156126","","192910","20210512150723"
"517","Tahj_Mowry","156463","","12169","20210511023120"
"518","Stepin_Fetchit","156546","","26813","20210412151344"
"519","Louis_Calhern","156594","","14670","20210414074947"
"520","Arthur_Kennedy","156606","","15604","20210413190519"
"521","Allan_Sherman","157548","","37094","20210428232027"
"522","Burl_Ives","158061","","30862","20210511015121"
"523","Cuba_Gooding_Jr.","158106","","31153","20210427112729"
"524","Haylie_Duff","158109","","22172","20210512015459"
"525","Julian_Beck","158661","","7743","20210331202116"
"526","Will_Sampson","158663","","11936","20210429145731"
